original_block_index,original_name,normalized_name,canonical_name,system,subsystem,anatomical_region,structure_type,laterality,piece_number,temporal_phase,hierarchy_path,classification_confidence,classification_rule,source_file,review_action,review_confidence,review_reason,example_source_file,example_original_block_index,first_seen_run_id,notes
,musc2085,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,2085,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,472,260612,
,musc2086,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,2086,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,473,260612,
,musc264,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,264,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,474,260612,
,musc265,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,265,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,475,260612,
,musc267,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,267,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,476,260612,
,musc268,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,268,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,477,260612,
,musc2900,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,2900,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,478,260612,
,musc2901,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,2901,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,479,260612,
,musc664,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,664,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,480,260612,
,musc665,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,665,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,481,260612,
,musc666,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,666,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,482,260612,
,musc667,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,667,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,483,260612,
,musc669,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,669,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,484,260612,
,musc670,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,670,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,486,260612,
,musc672,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,672,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,487,260612,
,musc673,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,673,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,488,260612,
,musc685,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,685,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,489,260612,
,musc691,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,691,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,490,260612,
,musc692,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,692,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,491,260612,
,musc694,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,694,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,492,260612,
,musc696,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,696,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,493,260612,
,musc697,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,697,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,494,260612,
,musc698,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,698,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,495,260612,
,musc702,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,702,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,496,260612,
,musc703,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,703,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,497,260612,
,musc704,skeletal_muscle,skeletal_muscle,musculoskeletal,skeletal_muscle,unspecified,muscle,unspecified,704,static,09_Musculoskeletal/Skeletal_Muscle,manual,ai_review:numeric_muscle_from_muscle_file,,corrected,high,musc#### shorthand in muscle.raw should remain skeletal muscle; prior report routed many to skeleton by numeric/pattern collision.,/Users/aghorban/code/databases/XCAT/binraws/260612/260612_1_muscle.raw,498,260612,
